Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Link;Abstract;Author Keywords;Document Type;Source;include;tracer;mechanisms_glomalin_etc;diversity_ecology;climate_action;new_methods;search;ecoregion_Bailey;landcover_8_clases_ESA;plant_functional_type;woody_herbaceous;plant_genus;plant_spp;plant_cv;needle_broad;symbiont_functional_type;symbiont_genus;symbiont_spp_isolate;method;label_pulse;label_chase;CO2_conc;pot_field;FACE;n;lat;long;colonization_perc;hypha_cm_g;temp_C;light_umol_m2_s;C_hypha_perc;C_hypha_perc_se;notes;soil-based_hyphalC;SOUNDBITE;;
Robinson D., Fitter A.;The magnitude and control of carbon transfer between plants linked by a common mycorrhizal network;1999;Journal of Experimental Botany;50;330;;9;13;;10.1093/jxb/50.330.9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032921388&doi=10.1093%2fjxb%2f50.330.9&partnerID=40&md5=e4b28e91fc59e838634342f5a04b0dc7;Various claims have been made about the ecological significance of plant-to-plant carbon movement through common mycorrhizal networks (CMNs). Most suggest that resource competition among interconnected plants should be less important than previously thought. If true, that would profoundly alter our perception of how plants interact among themselves and with their environment. However, there are difficulties in quantifying the amounts of resource transferred via CMNs, ensuring that transfer is genuinely through hyphae, not soil, and understanding its control. Carbon movement has not been quantified in many of the published studies. Where it has, its likely functional role has not been clarified. Some recent, well-publicized research suggests that carbon transferred to trees via an ectomycorrhizal (EcM) network may be physiologically and ecologically important. Our view, however, is that the evidence for this remains equivocal. Appropriate controls for the possibility of carbon transfer via soil were not used under field conditions. In laboratory experiments, controls failed to clarify the role of EcM links in carbon transfer. To resolve some areas of uncertainty, abundances of 13C have been measured to estimate carbon transfers via an arbuscular mycorrhizal (AM) network connecting grasses and forbs of the same of different species. Permeable barriers to roots and hyphae allowed any direct carbon transfer via soil to be detected. Large amounts of carbon (typically 10% of that roots) were transferred between linked plants via the CMN. Transferred carbon was never transported into shoots of 'receiver' plants. It remained in roots, probably inside fungal structures and, therefore, unavailable to the plants into which it was apparently transferred. Carbon transfer via an AM network does not allow 'resource sharing' among linked plants. It is probably irrelevant to the botanical components of a community, but it may be fundamental for fungal members. The 'mycocentric' view is that fungal structures within roots are parts of extended mycelia through which fungi move carbon according to their own carbon demands, not those of their autotrophic hosts.;"Arbuscular mycorrhiza; Carbon; Common mycorrhizal network; Ectomycorrhiza";Article;Scopus;y;n;y;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallenda T., Read D.J.;Kinetics of amino acid uptake by ectomycorrhizal roots;1999;Plant, Cell and Environment;22;2;;179;187;;10.1046/j.1365-3040.1999.00385.x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032893297&doi=10.1046%2fj.1365-3040.1999.00385.x&partnerID=40&md5=05bd6333fcfe27b14da998874bab7622;It is well established that ectomycorrhizal fungi can use amino acids as nitrogen and carbon sources, but data on the kinetic properties of amino acid uptake systems of ectomycorrhizal systems are scarce. Using 14C-labelled compounds we have determined the kinetics of uptake of amino acids by excised ectomycorrhizal roots for a range of distinct mycorrhizal types from three tree species, beech, spruce, and pine. All mycorrhizal types examined took up amino acids via high-affinity transport systems (K(M) values ranging from 19 to 233 mmol m-3). A comparative analysis of kinetic parameters for uptake of amino acids and the ammonium analogue methylammonium showed that ectomycorrhizal roots have similar or even higher affinities (lower K(M) values) for the amino acids, indicating that absorption of these organic forms of nitrogen (N) can contribute significantly to total N uptake by ectomycorrhizal plants. Analysis of amino acid uptake by ectomycorrhizal roots collected along a European north/south gradient of increasing mineral N pollution from northern Sweden to south Germany revealed no obvious trend in the uptake capabilities for amino acids by ectomycorrhizal roots in relation to the location of the sampling site on this gradient. Rather, the fungal species forming a particular morphotype was the factor determining uptake kinetics. It can therefore be deduced that the species composition of the fungal community will contribute significantly to the functional diversity of a population of mycorrhizal roots.;"Amino acid; Ammonium; Ectomycorrhiza; K(M); Kinetics; Lactarius subdulcis; N cycle; Russula ochroleuca; Uptake; V(max)";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green N.A., Meharg A.A., Till C., Troke J., Nicholson J.K.;Degradation of 4-fluorobiphenyl by mycorrhizal fungi as determined by 19F nuclear magnetic resonance spectroscopy and 14C radiolabelling analysis;1999;Applied and Environmental Microbiology;65;9;;4021;4027;;10.1128/aem.65.9.4021-4027.1999;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032866767&doi=10.1128%2faem.65.9.4021-4027.1999&partnerID=40&md5=19b2120435b3ec110a77b1cdb2d92116;The pathways of biotransformation of 4-fluorobiphenyl (4FBP) by the ectomycorrhizal fungus Tylospora fibrilosa and several other mycorrhizal fungi were investigated by using 19F nuclear magnetic resonance (NMR) spectroscopy in combination with 14C radioisotope-detected high-performance liquid chromatography (14C- HPLC). Under the conditions used in this study T. fibrillosa and some other species degraded 4FBP. 14C-HPLC profiles indicated that there were four major biotransformation products, whereas 19F NMR showed that there were six major fluorine-containing products. We confirmed that 4-fluorobiphen-4'-ol and 4-fluorobiphen-3'-ol were two of the major products formed, but no other products were conclusively identified. There was no evidence for the expected biotransformation pathway (namely, meta cleavage of the less halogenated ring), as none of the expected products of this route were found. To the best of our knowledge, this is the first report describing intermediates formed during mycorrhizal degradation of halogenated biphenyls.;;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kakei M., Clifford P.E.;Effects of lime application and test branch position on 14C-photosynthate partitioning in 3-year-old Sitka spruce (Picea sitchensis) plants growing in pots containing peat soils;1999;Forestry;72;3;;223;235;;10.1093/forestry/72.3.223;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032848340&doi=10.1093%2fforestry%2f72.3.223&partnerID=40&md5=3dbf4051080dfa95b82b3e31d093c13e;"Experiments were carried out to determine the effects of lime and test branch position on percentage 14C-distribution within the plant, sink activities of plant fractions and total 14C-recovered in plants. The investigation was conducted with 3-year-old Sitka spruce [Picea sitchensis (Bong.) Carr.] seedlings Planted in pots containing either limed or unlimed peat soils. To determine effects of test branch position on the above processes, upper test branches (UTB) and lower test branches (LTB) of plants were exposed to 14CO2 in October 1993, April 1994 and July 1994, These dates represented 100, 160 and 263 days after plants had been established under limed and unlimed conditions. Percentage 14C-distribution to the leader fraction decreased in October and increased in both April and July as a result of liming. In October, percentage 14C-distribution to the coarse-root fraction and sink activity of this fraction were increased by lime application. In July, the LTB and UTB of the limed plants retained 49 per cent and 51 per cent respectively higher concentrations of 14C as disintegrations per minute per gram dry weight compared with those of the unlimed plants. On all sampling occasions, sink activities of below-ground parts of the plant receiving 14C from the LTB were higher than when 14C was received from the UTB; such increases ranged from 55 per cent to over 300 per cent and were seemingly unrelated to liming treatment. In July, sink activity of above-ground parts of the limed plants importing 14C from the UTB was 100 per cent higher than when 14C was imported from the LTB. During the period of shoot elongation in April, both the UTB and LTB exported high percentages of their current photosynthate to the above-ground parts of the plant. When shoot elongation slowed down in July, the UTB and LTB exported high current photosynthate more equally to the above and below-ground parts of the plants. Concentrations of 14C per dry weight in the UTB themselves were as much as 162 per cent and 124 per cent higher than those in the LTB for April and July respectively. In October, total 14C-recovered in plants receiving 14C from the LTB was 77 per cent higher than that in plants receiving 14C from the UTB. Lime had no effect on the total 14C-recovered in plants when comparisons were made for a single test branch position. The stem and root fractions were the major sinks in the plant for the distribution of labelled carbon. Lime application decreased dry weight of fine roots in October and populations of mycorrhizae were decreased by liming on all sampling occasions.";;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pfeffer P.E., Douds Jr. D.D., B‚card G., Shachar-Hill Y.;Carbon uptake and the metabolism and transport of lipids in an arbuscular mycorrhiza;1999;Plant Physiology;120;2;;587;598;;10.1104/pp.120.2.587;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032811418&doi=10.1104%2fpp.120.2.587&partnerID=40&md5=0dafcbecae0db78136ab29845159e9f4;"Both the plant and the fungus benefit nutritionally in the arbuscular mycorrhizal symbiosis: The host plant enjoys enhanced mineral uptake and the fungus receives fixed carbon. In this exchange the uptake, metabolism, and translocation of carbon by the fungal partner are poorly understood. We therefore analyzed the fate of isotopically labeled substrates in an arbuscular mycorrhiza (in vitro cultures of Ri T-DNA-transformed carrot [Daucus carota] roots colonized by Glomus intraradices) using nuclear magnetic resonance spectroscopy. Labeling patterns observed in lipids and carbohydrates after substrates were supplied to the mycorrhizal roots or the extraradical mycelium indicated that: (a) 13C-labeled glucose and fructose (but not mannitol or succinate) are effectively taken up by the fungus within the root and are metabolized to yield labeled carbohydrates and lipids; (b) the extraradical mycelium does not use exogenous sugars for catabolism, storage, or transfer to the host; (c) the fungus converts sugars taken up in the root compartment into lipids that are then translocated to the extraradical mycelium (there being little or no lipid synthesis in the external mycelium); and (d) hexose in fungal tissue undergoes substantially higher fluxes through an oxidative pentose phosphate pathway than does hexose in the host plant.";;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceulemans R., Janssens I.A., Jach M.E.;Effects of CO2 enrichment on trees and forests: Lessons to be learned in view of future ecosystem studies;1999;Annals of Botany;84;5;;577;590;;10.1006/anbo.1999.0945;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032732372&doi=10.1006%2fanbo.1999.0945&partnerID=40&md5=f446c05be6c600f2def7cca7f563a6f6;"Because of their prominent role in global bioproductivity and because of their complex structure and function, forests and tree species deserve particular attention in studies on the likely impact of elevated atmospheric CO2 on terrestrial vegetation. Besides a synoptic review of some of the most prominent above-ground response processes, particular attention is given to below-ground responses of trees to elevated atmospheric CO2, while some feedback processes and interactions with various biotic and abiotic factors are also briefly summarized. At the leaf level there is little evidence of the long-term loss of sensitivity to CO2 that was suggested by earlier experiments with tree seedlings in pots. Future studies on photosynthesis measurements will probably not alter our conclusions about acclimation, but should focus more on respiration under elevated CO2, which is still poorly understood. At the tree level, the increase in growth observed in elevated CO2 results from an increase in both leaf area and leaf photosynthetic rate (per unit leaf area). Tree growth enhancement is generally larger at high rates of nutrient supply; when nutrient supply rates do not meet growth rates, tree nutrient status declines and nutrients become limiting. In many studies at the canopy level, a shift in whole-tree carbon allocation pattern towards below-ground parts has been associated with increased atmospheric CO2 concentrations. At the ecosystem level, a larger amount of carbon being allocated below-ground could show up by either (1) more root growth and turnover, (2) enhanced activity of root-associated microorganisms, (3) larger microbial biomass pools and enhanced microbial activity, or (4) increased losses of soil carbon through soil respiration. Fine root production is generally enhanced, but it is not clear whether this response would persist in a forest. As elevated CO2 stimulates biomass production, litterfall and rhizode-position also increase. This increased delivery of labile organic matter to the soil could influence soil microbial communities and subsequent decomposition rates, nutrient availability and carbon storage in soil. There are, however, contradictory hypothesis about the direction in which nutrient availability will be affected. Knowledge of the response of these and other ecophysiological processes to elevated CO2 is the key to understanding the functioning of the whole forest ecosystem. Our current knowledge is sufficiently large with regard to how the carbon uptake process and individual tree growth respond under atmospheric changes, but more emphasis should be put in future experiments on the interactions between various processes, such as the carbon and nitrogen cycles, and on below-ground responses.";"Below-ground processes; Decomposition; Elevated CO2; Forests; Global climatic changes; Mycorrhizae; Roots; Trees";Review;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrews J.A., Harrison K.G., Matamala R., Schlesinger W.H.;Separation of root respiration using carbon-13 labeling during free-air carbon enrichment (FACE);1999;Soil Science Society of America Journal;63;5;;1429;1435;;10.2136/sssaj1999.6351429x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032711784&doi=10.2136%2fsssaj1999.6351429x&partnerID=40&md5=dedd53388e0b37981c1823a0d0263aa6;Soil respiration constitutes a major component of the global carbon cycle and is likely to be altered by climatic change. However, there is an incomplete understanding of the extent to which various processes contribute to total soil respiration, especially the contributions of root and rhizosphere respiration. Here, using a stable carbon isotope tracer, we separate the relative contributions of root and soil heterotrophic respiration to total soil respiration in situ. The Free-Air Carbon dioxide Enrichment (FACE) facility in the Duke University Forest (NC) fumigates plots of an undisturbed loblolly pine (Pinus taeda L.) forest with CO2 that is strongly depleted in 13C. This labeled CO2 is found in the soil pore space through live root and mycorrhizal respiration and soil heterotroph respiration of labile root exudates. By measuring the depletion of 13CO2 in the soil system, we found that the rhizosphere contribution to soil CO2 reflected the distribution of fine roots in the soil and that late in the growing season roots contributed 55% of total soil respiration at the surface. This estimate may represent an upper limit on the contribution of roots to soil respiration because high atmospheric CO2 often increases in root density and/or root activity in the soil.Soil respiration constitutes a major component of the global carbon cycle and is likely to be altered by climatic change. However, there is an incomplete understanding of the extent to which various processes contribute to total soil respiration, especially the contributions of root and rhizosphere respiration. Here, using a stable carbon isotope tracer, we separate the relative contributions of root and soil heterotrophic respiration to total soil respiration in situ. The Free-Air Carbon dioxide Enrichment (FACE) facility in the Duke University Forest (NC) fumigates plots of an undisturbed loblolly pine (Pinus taeda L.) forest with CO2 that is strongly depleted in 13C. This labeled CO2 is found in the soil pore space through live root and mycorrhizal respiration and soil labile root exudates. By measuring the depletion of 13CO2 in the soil system, we found that the rhizosphere contribution to soil CO2 reflected the distribution of fine roots in the soil and that late in the growing season roots contributed 55% of total soil respiration at the surface. This estimate may represent an upper limit on the contribution of roots to soil respiration because high atmospheric CO2 often increases in root density and/or root activity in the soil.;;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brigmon R.L., Anderson T.A., Fliermans C.B.;Methanotrophic bacteria in the rhizosphere of trichloroethylene-degrading plants;1999;International Journal of Phytoremediation;1;3;;241;253;;10.1080/15226519908500018;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000609905&doi=10.1080%2f15226519908500018&partnerID=40&md5=ef11ee57118386d4b75e0e06673c69c3;The presence and density of methanotrophic bacteria has been shown to play an important role in the bioremediation of trichloroethylene (TCE). This article describes the methanotrophic bacterial densities in rhizosphere soils from two areas of the Department of Energy's Savannah River Site in Aiken, South Carolina. A direct fluorescent antibody (DFA) technique was evaluated to determine the presence of methanotrophic bacteria in roots and rhizospheres from vascular plants. The first site, the Miscellaneous Chemical Basin (MCB), was contaminated with a mixture of chemicals, including chlorinated solvents. The second site will be potentially affected by outcropping of TCE-contaminated groundwater. Significantly higher numbers of methanotrophic bacteria were observed with DFA in rhizosphere soils and on roots of Lespedeza cuneata and Pinus taeda (that previously showed higher rates of 14C-TCE mineralization) compared with nonvegetated soils. In addition, viable and heterotrophic microbial counts were consistently higher in rhizosphere soils and on plant roots compared with nonvegetated soils. Therefore, the presence of these plant species may enhance 14C-TCE mineralization by selectively increasing the microbial population in the root zone. Methanotrophic bacteria were directly observed by DFA in soils, on the surface of root hairs, within plant roots, and in higher densities associated with mycorrhizal fungi. These experiments provide further evidence that specific types of bacterial interactions with vegetation in the rhizosphere may play an important role in remediation of TCE-contaminated soils and groundwater.;"Methanotrophic bacteria; Rhizosphere soils; Trichloroethylene";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staddon P.L., Fitter A.H.;Does elevated atmospheric carbon dioxide affect arbuscular mycorrhizas?;1998;Trends in Ecology and Evolution;13;11;;455;458;;10.1016/S0169-5347(98)01493-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032213631&doi=10.1016%2fS0169-5347%2898%2901493-1&partnerID=40&md5=9dcd0c0aa929122f0da27f24c3644b9a;It is well established that an increase in the concentration of atmospheric CO2 stimulates plant growth. Recently, many researchers have concluded that elevated CO2 concentrations also stimulate mycorrhizal colonization. However, new evidence suggests that the observed CO2 effects on arbuscular mycorrhizal fungi are indirect and are a result of faster plant growth at higher CO2 concentrations. Potential changes to species assemblages of mycorrhizal fungi could affect soil carbon storage and, consequently, the feedback effects of terrestrial soil-vegetation systems on global environmental change.;;Review;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitter A.H., Graves J.D., Watkins N.K., Robinson D., Scrimgeour C.;Carbon transfer between plants and its control in networks of arbuscular mycorrhizas;1998;Functional Ecology;12;3;;406;412;;10.1046/j.1365-2435.1998.00206.x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031857790&doi=10.1046%2fj.1365-2435.1998.00206.x&partnerID=40&md5=52223f672b7bbf13ad4bb6ca81ae4195;"1. Two studies using the stable, isotope 13C have shown that large amounts of carbon can move between plants linked by arbuscular mycorrhizal fungi. Quantities comparable to the carbon cost of the symbiosis for an individual plant may be transferred. 2. We measured C transfer between linked plants of the grass Cynodon dactylon (C4, ë13C ? - 14?) and the herb Plantago lanceolata (C3, ë13C ~ - 28?). To test the hypothesis that the carbon transferred between plants remained in fungal structures at all times, plants were grown for two harvests; at the first harvest they were clipped to ground level, so that shoot re-growth required the transport of carbon from the roots. We also tested the influence of the direction of growth of the fungus, to determine whether C was transported out of or into a newly colonized root, and of growing plants in elevated CO2, to increase the availability of carbon compounds in the roots. 3. Large amounts of C were transferred between linked plants, more so into Plantago than into Cynodon roots. Transfer occurred whether root systems were separated by a 20 ?m mesh, that excluded roots but not hyphae, or a 0.45 ?m mesh, intended to act as a barrier to hyphae as well. We believe that the high root densities achieved in the experiment allowed hyphae to cross the finer mesh between the two dense root mats. 4. Clipping the plants did not result in any movement of C from roots to shoots, thus confirming the prediction that all C transferred remains in fungal structures. 5. The direction of growth of the fungus did not affect the direction of transfer, nor did the CO2 concentration in which the plants were grown. 6. The amount of C transferred was a positive correlate of the frequency of vesicles in the roots but a negative correlate of the frequency of hyphae. If C were moving into developing colonization units, thus effectively giving the plant a 'free' symbiosis, the correlation with internal hyphae should be positive. The positive correlation with vesicles suggests that C is moving into fungal storage structures. 7. We propose a mycocentric view of the phenomenon of interplant C transfer, in which the fungal colonies within roots are seen as parts of an extended mycelium between which the fungus moves resources depending on the dynamics of its own growth. We do not believe that the transfer has an impact on plant C budgets or fitness, but that it may be a major element in the understanding of fungal C budgets.";"13C; Arbuscular mycorrhiza; C3; C4; Carbon transport; Stable isotopes";Article;Scopus;y;n;y;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staddon P.L., Graves J.D., Fitter A.H.;Effect of enhanced atmospheric CO2 on mycorrhizal colonization by Glomus mosseae in Plantago lanceolata and Trifolium repens;1998;New Phytologist;139;3;;571;580;;10.1046/j.1469-8137.1998.00206.x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031949820&doi=10.1046%2fj.1469-8137.1998.00206.x&partnerID=40&md5=38163da8affbafd8c0bda8256cf8db87;"Plantago lanceolata L. and Trifolium repens L. were grown for 16 wk in ambient (360 ?mol mol-1) and elevated (610 ?mol mol-1) atmospheric CO2. Plants were inoculated with the arbuscular mycorrhizal (AM) fungus Glomus mosseae (Nicol. and Gerd.) Gerdemann and Trappe and given a phosphorus supply in the form of bonemeal, which would not be immediately available to the plants. Seven sequential harvests were taken to determine whether the effect of elevated CO2 on mycorrhizal colonization was independent of the effect of CO2 on plant growth. Plant growth analysis showed that both species grew faster in elevated CO2 and that P. lanceolata had increased carbon allocation towards the roots. Elevated CO2 did not affect the percentage of root length colonized (RLC); although total colonized root length was greater, when plant size was taken into account this effect disappeared. This finding was also true for root length colonized by arbuscules. No CO2 effect was found on hyphal density (colonization intensity) in roots. The P content of plants was increased at elevated CO2, although both shoot and root tissue P concentration were unchanged. This was again as a result of bigger plants at elevated CO2. Phosphorus inflow was unaffected by CO2 concentrations. It is concluded that there is no direct permanent effect of elevated CO2 on mycorrhizal functioning, as internal mycorrhizal development and the mycorrhizal P uptake mechanism are unaffected. The importance of sequential harvests in experiments is discussed. The direction for future research is highlighted, especially in relation to C storage in the soil.";"Carbon storage; Elevated CO2; Glomus mosseae (Nicol. and Gerd.) Gerdemann and Trappe; Mycorrhizal colonization; Mycorrhizal functioning";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rouhier H., Read D.J.;The role of mycorrhiza in determining the response of Plantago lanceolata to Co2 enrichment;1998;New Phytologist;139;2;;367;373;;10.1046/j.1469-8137.1998.00200.x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031853249&doi=10.1046%2fj.1469-8137.1998.00200.x&partnerID=40&md5=22e51b93a91bbb51484e5bd7ff24e714;Plantago lanceolata L. was grown for 104 d with (M) or without (NM) arbuscular mycorrhizal colonization under conditions of ambient (C(AMB) = 350 ?l l-1) and elevated (C(ELEV) = 540 ?l l-1) CO2. Sequential harvests (H) were taken at 41 (H1), 76 (H2) and 104 d (H3) to determine the time-course of mycorrhizal influence on the response of the plant to CO2 enrichment. Total yields of M plants were greater than those of NM from H2 onwards. Plants in the M(ELEV) treatment were significantly larger than those in the M(AMB) at 104 d. There were significant but much smaller differences in yield between NM(ELEV) and NM(AMB). The differences in total yield arose through impact of C(ELEV) on both shoots and roots. Total root length was greater in M(ELEV) than in M(AMB) only at H3, but total length of mycorrhizal root was greater at H2 and H3. The percentages of root length colonized and that occupied by arbuscules and vesicles were greater in M(ELEV) than in M(AMB) at the last two harvests, indicating increased sequestration of carbon in internal fungal structures. Though extraradical hyphal lengths were greater in M(ELEV) than in M(AMB) at H2 and H3, the differences were not significant. Phosphorus inflow and P content of M plants were higher than those of NM plants at H2 and H3, and were higher in M(ELEV) than in M(AMB) at H3. ANOVA revealed no significant interactions between CO2 and mycorrhizal treatment. The results are discussed in relation to carbon sequestration in mycorrhizal systems and likely impacts of CO2 enrichment on P. lanceolata grown under field conditions. The importance of sequential harvesting for realistic determination of responses to CO2 is stressed.;"Arbuscular mycorrhiza; CO2 enrichment; Fungal colonization; Phosphorus inflow; Plant growth";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N„sholm T., Ekblad A., Nordin A., Giesler R., H”gberg M., H”gberg P.;Boreal forest plants take up organic nitrogen;1998;Nature;392;6679;;914;917;;10.1038/31921;https://www.scopus.com/inward/record.uri?eid=2-s2.0-2042520757&doi=10.1038%2f31921&partnerID=40&md5=c9082c1c64b6c0f24f561fcdeb9acd70;Plant growth in the boreal forest, the largest terrestrial biome, is generally limited by the availability of nitrogen. 'The presumed cause of this limitation is slow mineralization of soil organic nitrogen. Here we demonstrate, to our knowledge for the first time, the uptake of organic nitrogen in the field by the trees Pinus sylvestris and Picea abies, the dwarf shrub Vaccinium myrtillus and the grass Deschampsia flexuosa. These results show that these plants, irrespective of their different types of root-fungal associations (mycorrhiza), bypass nitrogen mineralization. A trace of the amino acid glycine, labelled with the stable isotopes 13C and 15N, was injected into the organic (mor) layer of an old successional boreal coniferous forest. Ratios of 13C:15N in the roots showed that at least 91, 64 and 42% of the nitrogen from the absorbed glycine was taken up in intact glycine by the dwarf shrub, the grass and the trees, respectively. Rates of glycine uptake were similar to those of 15N-ammonium. Our data indicate that organic nitrogen is important for these different plants, even when they are competing with each other and with non-symbiotic microorganisms. This has major implications for our understanding of the effects of nitrogen deposition, global warming and intensified forestry.;;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maier W., Schneider B., Strack D.;Biosynthesis of sesquiterpenoid cyclohexenone derivatives in mycorrhizal barley roots proceeds via the glyceraldehyde 3-phosphate/pyruvate pathway;1998;Tetrahedron Letters;39;7;;521;524;;10.1016/S0040-4039(97)10673-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032510160&doi=10.1016%2fS0040-4039%2897%2910673-6&partnerID=40&md5=9d3451804fab4edef92d911d793ea9ff;Incorporation of [1-13C]- and [U-13C6]glucose indicates that the biosynthesis of sesquiterpenoid cyclohexenone derivatives in mycorrhizal barley roots proceeds via the glyceraldehyde 3-phosphate/pyruvate non-mevalonate pathway.;;Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
